Species,Tile_Number,Group,Censor,Percent_Survival,Prop_Survival,Weight,Coral_Number
Porites,112,1,0,100,1,2,
Porites,113,1,0,100,1,3,
Porites,116,1,0,100,1,2,
Porites,12,1,1,0,0,1,
Porites,122,1,1,66.66666667,0.666666667,3,
Porites,142,1,0,100,1,2,
Porites,148,1,1,0,0,3,
Porites,154,1,1,66.66666667,0.666666667,3,
Porites,155,1,0,50,0.5,4,
Porites,170,1,1,0,0,6,
Porites,172,1,0,88.88888889,0.888888889,9,
Porites,187,1,0,83.33333333,0.833333333,6,
Porites,190,1,1,25,0.25,8,
Porites,195,1,0,100,1,1,
Porites,201,1,1,33.33333333,0.333333333,3,
Porites,212,1,0,100,1,2,
Porites,213,1,1,0,0,2,
Porites,309,1,0,100,1,1,
Porites,316,1,0,33.33333333,0.333333333,3,
Porites,318,1,0,100,1,2,
Porites,320,1,0,100,1,1,
Porites,322,1,0,100,1,2,
Porites,376,1,0,57.14285714,0.571428571,7,
Porites,391,1,0,60,0.6,5,
Porites,400,1,1,0,0,1,
Porites,405,1,0,100,1,1,
Porites,52,1,1,0,0,3,
Porites,6,1,0,66.66666667,0.666666667,3,
Porites,61,1,1,25,0.25,4,
Porites,70,1,0,75,0.75,4,
Porites,74,1,0,100,1,2,
Porites,82,1,1,66.66666667,0.666666667,3,
Porites,85,1,0,66.66666667,0.666666667,3,
Porites,99,1,0,75,0.75,4,
Porites,106,2,0,50,0.5,4,
Porites,115,2,1,0,0,3,
Porites,127,2,0,75,0.75,4,
Porites,134,2,0,100,1,1,
Porites,141,2,0,100,1,3,
Porites,162,2,0,100,1,3,
Porites,178,2,0,100,1,3,
Porites,179,2,1,0,0,3,
Porites,183,2,1,0,0,3,
Porites,185,2,1,60,0.6,5,
Porites,197,2,0,0,0,3,
Porites,211,2,1,50,0.5,2,
Porites,22,2,0,60,0.6,5,
Porites,28,2,0,33.33333333,0.333333333,3,
Porites,29,2,1,0,0,2,
Porites,326,2,0,100,1,2,
Porites,333,2,0,100,1,2,
Porites,339,2,0,50,0.5,10,
Porites,349,2,1,25,0.25,4,
Porites,350,2,0,66.66666667,0.666666667,9,
Porites,353,2,1,0,0,5,
Porites,355,2,0,83.33333333,0.833333333,6,
Porites,368,2,1,70,0.7,10,
Porites,377,2,0,100,1,1,
Porites,390,2,0,71.42857143,0.714285714,7,
Porites,76,2,0,75,0.75,4,
Porites,8,2,1,20,0.2,5,
Porites,87,2,0,75,0.75,4,
Porites,9,2,1,0,0,4,
Porites,98,2,1,66.66666667,0.666666667,3,
Porites,103,3,0,100,1,3,
Porites,11,3,0,75,0.75,4,
Porites,121,3,0,66.66666667,0.666666667,3,
Porites,133,3,1,71.42857143,0.714285714,7,
Porites,136,3,0,80,0.8,5,
Porites,137,3,1,0,0,7,
Porites,166,3,0,100,1,2,
Porites,184,3,0,100,1,3,
Porites,191,3,1,0,0,6,
Porites,210,3,0,66.66666667,0.666666667,3,
Porites,24,3,0,100,1,3,
Porites,302,3,0,83.33333333,0.833333333,6,
Porites,306,3,0,100,1,1,
Porites,313,3,1,0,0,1,
Porites,329,3,0,83.33333333,0.833333333,6,
Porites,340,3,0,100,1,1,
Porites,342,3,0,83.33333333,0.833333333,18,
Porites,343,3,1,0,0,1,
Porites,354,3,0,75,0.75,8,
Porites,374,3,1,0,0,5,
Porites,389,3,0,100,1,1,
Porites,4,3,0,71.42857143,0.714285714,7,
Porites,57,3,0,100,1,3,
Porites,59,3,0,75,0.75,4,
Porites,62,3,0,100,1,5,
Porites,64,3,0,100,1,2,
Porites,68,3,0,66.66666667,0.666666667,3,
Porites,7,3,0,100,1,3,
Porites,71,3,0,100,1,2,
Porites,89,3,1,0,0,2,
Porites,91,3,0,100,1,2,
Porites,95,3,0,100,1,3,
Porites,104,4,0,100,1,1,
Porites,105,4,0,100,1,1,
Porites,110,4,1,0,0,1,
Porites,119,4,0,50,0.5,2,
Porites,124,4,1,0,0,2,
Porites,139,4,0,50,0.5,2,
Porites,143,4,0,100,1,1,
Porites,147,4,0,100,1,1,
Porites,153,4,0,100,1,1,
Porites,156,4,0,100,1,1,
Porites,157,4,0,100,1,1,
Porites,159,4,0,100,1,1,
